date,series_key,value
2019-01-02,vn_10y,5.07
2019-01-02,us_10y,2.661
2019-01-02,bond_gap,2.409
2019-01-03,vn_10y,5.08
2019-01-03,us_10y,2.554
2019-01-03,bond_gap,2.526
2019-01-04,vn_10y,5.08
2019-01-04,us_10y,2.659
2019-01-04,bond_gap,2.421
2019-01-07,vn_10y,5.08
2019-01-07,us_10y,2.682
2019-01-07,bond_gap,2.398
2019-01-08,vn_10y,5.01
2019-01-08,us_10y,2.716
2019-01-08,bond_gap,2.294
2019-01-09,vn_10y,5.03
2019-01-09,us_10y,2.728
2019-01-09,bond_gap,2.302
2019-01-10,vn_10y,4.92
2019-01-10,us_10y,2.731
2019-01-10,bond_gap,2.189
2019-01-11,vn_10y,4.9
2019-01-11,us_10y,2.701
2019-01-11,bond_gap,2.199
2019-01-14,vn_10y,4.89
2019-01-14,us_10y,2.71
2019-01-14,bond_gap,2.18
2019-01-15,vn_10y,4.85
2019-01-15,us_10y,2.711
2019-01-15,bond_gap,2.139
2019-01-16,vn_10y,4.86
2019-01-16,us_10y,2.731
2019-01-16,bond_gap,2.129
2019-01-17,vn_10y,4.85
2019-01-17,us_10y,2.749
2019-01-17,bond_gap,2.101
2019-01-18,vn_10y,4.84
2019-01-18,us_10y,2.784
2019-01-18,bond_gap,2.056
2019-01-22,vn_10y,4.84
2019-01-22,us_10y,2.73
2019-01-22,bond_gap,2.11
2019-01-23,vn_10y,4.84
2019-01-23,us_10y,2.755
2019-01-23,bond_gap,2.085
2019-01-24,vn_10y,4.83
2019-01-24,us_10y,2.712
2019-01-24,bond_gap,2.118
2019-01-25,vn_10y,4.82
2019-01-25,us_10y,2.753
2019-01-25,bond_gap,2.067
2019-01-28,vn_10y,4.83
2019-01-28,us_10y,2.744
2019-01-28,bond_gap,2.086
2019-01-29,vn_10y,4.82
2019-01-29,us_10y,2.712
2019-01-29,bond_gap,2.108
2019-01-30,vn_10y,4.83
2019-01-30,us_10y,2.695
2019-01-30,bond_gap,2.135
2019-01-31,vn_10y,4.81
2019-01-31,us_10y,2.635
2019-01-31,bond_gap,2.175
2019-02-01,vn_10y,4.8
2019-02-01,us_10y,2.691
2019-02-01,bond_gap,2.109
2019-02-04,vn_10y,4.8
2019-02-04,us_10y,2.724
2019-02-04,bond_gap,2.076
2019-02-05,vn_10y,4.8
2019-02-05,us_10y,2.702
2019-02-05,bond_gap,2.098
2019-02-06,vn_10y,4.8
2019-02-06,us_10y,2.702
2019-02-06,bond_gap,2.098
2019-02-07,vn_10y,4.8
2019-02-07,us_10y,2.652
2019-02-07,bond_gap,2.148
2019-02-08,vn_10y,4.8
2019-02-08,us_10y,2.632
2019-02-08,bond_gap,2.168
2019-02-11,vn_10y,4.76
2019-02-11,us_10y,2.661
2019-02-11,bond_gap,2.099
2019-02-12,vn_10y,4.73
2019-02-12,us_10y,2.684
2019-02-12,bond_gap,2.046
2019-02-13,vn_10y,4.71
2019-02-13,us_10y,2.708
2019-02-13,bond_gap,2.002
2019-02-14,vn_10y,4.68
2019-02-14,us_10y,2.657
2019-02-14,bond_gap,2.023
2019-02-15,vn_10y,4.63
2019-02-15,us_10y,2.666
2019-02-15,bond_gap,1.964
2019-02-19,vn_10y,4.64
2019-02-19,us_10y,2.647
2019-02-19,bond_gap,1.993
2019-02-20,vn_10y,4.65
2019-02-20,us_10y,2.654
2019-02-20,bond_gap,1.996
2019-02-21,vn_10y,4.65
2019-02-21,us_10y,2.688
2019-02-21,bond_gap,1.962
2019-02-22,vn_10y,4.69
2019-02-22,us_10y,2.655
2019-02-22,bond_gap,2.035
2019-02-25,vn_10y,4.7
2019-02-25,us_10y,2.673
2019-02-25,bond_gap,2.027
2019-02-26,vn_10y,4.71
2019-02-26,us_10y,2.636
2019-02-26,bond_gap,2.074
2019-02-27,vn_10y,4.7
2019-02-27,us_10y,2.693
2019-02-27,bond_gap,2.007
2019-02-28,vn_10y,4.7
2019-02-28,us_10y,2.711
2019-02-28,bond_gap,1.989
2019-03-01,vn_10y,4.71
2019-03-01,us_10y,2.755
2019-03-01,bond_gap,1.955
2019-03-04,vn_10y,4.7
2019-03-04,us_10y,2.722
2019-03-04,bond_gap,1.978
2019-03-05,vn_10y,4.71
2019-03-05,us_10y,2.722
2019-03-05,bond_gap,1.988
2019-03-06,vn_10y,4.72
2019-03-06,us_10y,2.692
2019-03-06,bond_gap,2.028
2019-03-07,vn_10y,4.73
2019-03-07,us_10y,2.636
2019-03-07,bond_gap,2.094
2019-03-08,vn_10y,4.73
2019-03-08,us_10y,2.625
2019-03-08,bond_gap,2.105
2019-03-11,vn_10y,4.74
2019-03-11,us_10y,2.643
2019-03-11,bond_gap,2.097
2019-03-12,vn_10y,4.73
2019-03-12,us_10y,2.605
2019-03-12,bond_gap,2.125
2019-03-13,vn_10y,4.73
2019-03-13,us_10y,2.611
2019-03-13,bond_gap,2.119
2019-03-14,vn_10y,4.73
2019-03-14,us_10y,2.63
2019-03-14,bond_gap,2.1
2019-03-15,vn_10y,4.75
2019-03-15,us_10y,2.593
2019-03-15,bond_gap,2.157
2019-03-18,vn_10y,4.74
2019-03-18,us_10y,2.602
2019-03-18,bond_gap,2.138
2019-03-19,vn_10y,4.74
2019-03-19,us_10y,2.614
2019-03-19,bond_gap,2.126
2019-03-20,vn_10y,4.76
2019-03-20,us_10y,2.535
2019-03-20,bond_gap,2.225
2019-03-21,vn_10y,4.78
2019-03-21,us_10y,2.537
2019-03-21,bond_gap,2.243
2019-03-22,vn_10y,4.78
2019-03-22,us_10y,2.455
2019-03-22,bond_gap,2.325
2019-03-25,vn_10y,4.78
2019-03-25,us_10y,2.42
2019-03-25,bond_gap,2.36
2019-03-26,vn_10y,4.82
2019-03-26,us_10y,2.414
2019-03-26,bond_gap,2.406
2019-03-27,vn_10y,4.8
2019-03-27,us_10y,2.374
2019-03-27,bond_gap,2.426
2019-03-28,vn_10y,4.8
2019-03-28,us_10y,2.389
2019-03-28,bond_gap,2.411
2019-03-29,vn_10y,4.78
2019-03-29,us_10y,2.414
2019-03-29,bond_gap,2.366
2019-04-01,vn_10y,4.76
2019-04-01,us_10y,2.497
2019-04-01,bond_gap,2.263
2019-04-02,vn_10y,4.77
2019-04-02,us_10y,2.481
2019-04-02,bond_gap,2.289
2019-04-03,vn_10y,4.78
2019-04-03,us_10y,2.517
2019-04-03,bond_gap,2.263
2019-04-04,vn_10y,4.77
2019-04-04,us_10y,2.512
2019-04-04,bond_gap,2.258
2019-04-05,vn_10y,4.77
2019-04-05,us_10y,2.501
2019-04-05,bond_gap,2.269
2019-04-08,vn_10y,4.77
2019-04-08,us_10y,2.519
2019-04-08,bond_gap,2.251
2019-04-09,vn_10y,4.77
2019-04-09,us_10y,2.499
2019-04-09,bond_gap,2.271
2019-04-10,vn_10y,4.77
2019-04-10,us_10y,2.477
2019-04-10,bond_gap,2.293
2019-04-11,vn_10y,4.78
2019-04-11,us_10y,2.504
2019-04-11,bond_gap,2.276
2019-04-12,vn_10y,4.76
2019-04-12,us_10y,2.56
2019-04-12,bond_gap,2.2
2019-04-15,vn_10y,4.76
2019-04-15,us_10y,2.553
2019-04-15,bond_gap,2.207
2019-04-16,vn_10y,4.75
2019-04-16,us_10y,2.592
2019-04-16,bond_gap,2.158
2019-04-17,vn_10y,4.75
2019-04-17,us_10y,2.592
2019-04-17,bond_gap,2.158
2019-04-18,vn_10y,4.75
2019-04-18,us_10y,2.56
2019-04-18,bond_gap,2.19
2019-04-22,vn_10y,4.73
2019-04-22,us_10y,2.59
2019-04-22,bond_gap,2.14
2019-04-23,vn_10y,4.73
2019-04-23,us_10y,2.57
2019-04-23,bond_gap,2.16
2019-04-24,vn_10y,4.73
2019-04-24,us_10y,2.522
2019-04-24,bond_gap,2.208
2019-04-25,vn_10y,4.73
2019-04-25,us_10y,2.534
2019-04-25,bond_gap,2.196
2019-04-26,vn_10y,4.73
2019-04-26,us_10y,2.505
2019-04-26,bond_gap,2.225
2019-04-29,vn_10y,4.73
2019-04-29,us_10y,2.536
2019-04-29,bond_gap,2.194
2019-04-30,vn_10y,4.73
2019-04-30,us_10y,2.509
2019-04-30,bond_gap,2.221
2019-05-01,vn_10y,4.73
2019-05-01,us_10y,2.511
2019-05-01,bond_gap,2.219
2019-05-02,vn_10y,4.73
2019-05-02,us_10y,2.552
2019-05-02,bond_gap,2.178
2019-05-03,vn_10y,4.73
2019-05-03,us_10y,2.531
2019-05-03,bond_gap,2.199
2019-05-06,vn_10y,4.75
2019-05-06,us_10y,2.5
2019-05-06,bond_gap,2.25
2019-05-07,vn_10y,4.74
2019-05-07,us_10y,2.448
2019-05-07,bond_gap,2.292
2019-05-08,vn_10y,4.74
2019-05-08,us_10y,2.482
2019-05-08,bond_gap,2.258
2019-05-09,vn_10y,4.74
2019-05-09,us_10y,2.457
2019-05-09,bond_gap,2.283
2019-05-10,vn_10y,4.74
2019-05-10,us_10y,2.455
2019-05-10,bond_gap,2.285
2019-05-13,vn_10y,4.74
2019-05-13,us_10y,2.405
2019-05-13,bond_gap,2.335
2019-05-14,vn_10y,4.74
2019-05-14,us_10y,2.419
2019-05-14,bond_gap,2.321
2019-05-15,vn_10y,4.73
2019-05-15,us_10y,2.379
2019-05-15,bond_gap,2.351
