date,series_key,value
2015-01-01,d_round_0_5,109.25
2015-01-01,d_round_0_7,110.31
2015-01-01,d_round_0_9,107.99
2015-01-01,d_round_1_0,114.47
2015-01-01,d_round_1_5,114.31
2015-01-01,d_round_2_0,121.34
2015-01-01,d_round_3_0,167.87
2015-01-01,d_round_4_0,224.25
2015-01-01,d_round_5_0,186.41
2015-01-01,d_total,124.69
2015-01-02,d_round_0_5,109.29
2015-01-02,d_round_0_7,110.35
2015-01-02,d_round_0_9,108.04
2015-01-02,d_round_1_0,114.37
2015-01-02,d_round_1_5,114.26
2015-01-02,d_round_2_0,121.28
2015-01-02,d_round_3_0,167.92
2015-01-02,d_round_4_0,224.02
2015-01-02,d_round_5_0,186.5
2015-01-02,d_total,124.42
2015-01-03,d_round_0_5,108.74
2015-01-03,d_round_0_7,110.01
2015-01-03,d_round_0_9,108.0
2015-01-03,d_round_1_0,114.27
2015-01-03,d_round_1_5,114.2
2015-01-03,d_round_2_0,121.21
2015-01-03,d_round_3_0,167.71
2015-01-03,d_round_4_0,224.01
2015-01-03,d_round_5_0,186.95
2015-01-03,d_total,124.31
2015-01-04,d_round_0_5,109.0
2015-01-04,d_round_0_7,109.61
2015-01-04,d_round_0_9,108.16
2015-01-04,d_round_1_0,114.36
2015-01-04,d_round_1_5,114.18
2015-01-04,d_round_2_0,121.34
2015-01-04,d_round_3_0,168.38
2015-01-04,d_round_4_0,224.09
2015-01-04,d_round_5_0,187.14
2015-01-04,d_total,124.4
2015-01-05,d_round_0_5,109.01
2015-01-05,d_round_0_7,109.63
2015-01-05,d_round_0_9,108.16
2015-01-05,d_round_1_0,114.43
2015-01-05,d_round_1_5,114.33
2015-01-05,d_round_2_0,121.49
2015-01-05,d_round_3_0,168.43
2015-01-05,d_round_4_0,221.67
2015-01-05,d_round_5_0,186.57
2015-01-05,d_total,124.47
2015-01-06,d_round_0_5,108.68
2015-01-06,d_round_0_7,110.44
2015-01-06,d_round_0_9,108.55
2015-01-06,d_round_1_0,114.54
