date,company,buy,sell
2020-01-01,BTMC,42440000.0,42640000.0
2020-01-01,DOJI,42450000.0,42750000.0
2020-01-01,PHUQUY,42400000.0,42650000.0
2020-01-02,PNJ,42300000.0,42800000.0
2020-01-02,DOJI,42450000.0,42700000.0
2020-01-02,PHUQUY,42450000.0,42700000.0
2020-01-02,BTMC,42440000.0,42640000.0
2020-01-03,PNJ,42600000.0,43000000.0
2020-01-03,DOJI,42650000.0,42800000.0
2020-01-03,PHUQUY,42600000.0,42800000.0
2020-01-03,BTMC,42460000.0,42590000.0
2020-01-04,PNJ,42900000.0,43300000.0
2020-01-04,PHUQUY,42780000.0,43000000.0
2020-01-04,DOJI,42830000.0,43000000.0
2020-01-04,BTMC,42850000.0,43000000.0
2020-01-05,PHUQUY,43050000.0,43250000.0
2020-01-05,DOJI,43050000.0,43200000.0
2020-01-05,BTMC,43070000.0,43220000.0
2020-01-06,PNJ,43850000.0,44300000.0
2020-01-06,PHUQUY,43750000.0,44200000.0
2020-01-06,DOJI,43750000.0,44100000.0
2020-01-06,BTMC,43110000.0,43280000.0
2020-01-07,PNJ,43600000.0,44000000.0
2020-01-07,BTMC,43970000.0,44300000.0
2020-01-07,DOJI,43800000.0,44100000.0
2020-01-07,PHUQUY,43700000.0,44050000.0
2020-01-08,PNJ,44050000.0,44550000.0
2020-01-08,PHUQUY,44200000.0,44700000.0
2020-01-08,DOJI,44200000.0,44600000.0
2020-01-08,BTMC,43660000.0,43860000.0
2020-01-09,PNJ,43050000.0,43500000.0
2020-01-09,BTMC,44000000.0,44300000.0
2020-01-09,DOJI,43550000.0,43750000.0
2020-01-09,PHUQUY,43500000.0,43900000.0
2020-01-10,PNJ,42950000.0,43400000.0
2020-01-10,PHUQUY,42900000.0,43300000.0
2020-01-10,DOJI,43060000.0,43260000.0
2020-01-10,BTMC,43060000.0,43250000.0
2020-01-11,PNJ,43200000.0,43650000.0
2020-01-11,PHUQUY,43250000.0,43550000.0
2020-01-11,DOJI,43300000.0,43500000.0
2020-01-11,BTMC,43280000.0,43470000.0
2020-01-12,PHUQUY,43300000.0,43600000.0
2020-01-12,DOJI,43330000.0,43530000.0
2020-01-12,BTMC,43320000.0,43500000.0
2020-01-13,PNJ,42950000.0,43350000.0
2020-01-13,DOJI,43300000.0,43500000.0
2020-01-13,PHUQUY,43250000.0,43500000.0
2020-01-13,BTMC,43330000.0,43520000.0
2020-01-14,PNJ,42950000.0,43300000.0
2020-01-14,PHUQUY,42700000.0,43050000.0
2020-01-14,DOJI,42700000.0,42900000.0
2020-01-14,BTMC,43050000.0,43270000.0
2020-01-15,PHUQUY,42900000.0,43200000.0
2020-01-15,DOJI,42950000.0,43150000.0
2020-01-15,BTMC,42980000.0,43170000.0
2020-01-16,PNJ,42950000.0,43350000.0
2020-01-16,DOJI,43150000.0,43350000.0
2020-01-16,PHUQUY,43100000.0,43350000.0
2020-01-16,BTMC,43070000.0,43260000.0
2020-01-17,PNJ,43000000.0,43400000.0
2020-01-17,BTMC,43160000.0,43350000.0
2020-01-17,DOJI,43100000.0,43300000.0
2020-01-17,PHUQUY,43050000.0,43300000.0
2020-01-18,PNJ,43000000.0,43400000.0
2020-01-18,PHUQUY,43200000.0,43500000.0
2020-01-18,DOJI,43270000.0,43420000.0
2020-01-18,BTMC,43210000.0,43380000.0
2020-01-19,PHUQUY,43350000.0,43550000.0
2020-01-19,BTMC,43360000.0,43540000.0
2020-01-19,DOJI,43350000.0,43550000.0
