date,bank_code,bank_name,term,rate,product,method,currency,source_url,crawled_at
2026-07-02,VCB,Vietcombank,KKH,0.1,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,7D,0.2,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,14D,0.2,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,1M,2.1,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,2M,2.1,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,3M,2.4,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,6M,3.5,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,9M,3.5,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,12M,5.9,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,24M,6.0,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
2026-07-02,VCB,Vietcombank,36M,5.3,quay,cuoi_ky,VND,https://www.vietcombank.com.vn/vi-VN/api/interestrates?accountType=Personal,2026-07-02T15:48:20
