date,series_key,value
2024-01-02,interbank_1m,1.8
2024-01-02,interbank_1w,1.28
2024-01-02,interbank_2w,2.19
2024-01-02,interbank_3m,4.4
2024-01-02,interbank_6m,4.32
2024-01-02,interbank_on,0.95
2024-01-03,interbank_1m,1.17
2024-01-03,interbank_1w,0.72
2024-01-03,interbank_2w,1.22
2024-01-03,interbank_3m,3.23
2024-01-03,interbank_6m,4.39
2024-01-03,interbank_on,0.46
2024-01-04,interbank_1m,1.89
2024-01-04,interbank_1w,0.44
2024-01-04,interbank_2w,0.6
2024-01-04,interbank_3m,3.02
2024-01-04,interbank_6m,4.74
2024-01-04,interbank_on,0.23
2024-01-05,interbank_1m,2.04
2024-01-05,interbank_1w,0.31
2024-01-05,interbank_2w,0.44
2024-01-05,interbank_3m,2.96
2024-01-05,interbank_6m,4.44
2024-01-05,interbank_on,0.19
2024-01-08,interbank_1m,2.27
2024-01-08,interbank_1w,0.36
2024-01-08,interbank_2w,0.48
2024-01-08,interbank_3m,3.34
2024-01-08,interbank_6m,4.7
2024-01-08,interbank_on,0.16
2024-01-09,interbank_1m,1.82
2024-01-09,interbank_1w,0.28
2024-01-09,interbank_2w,0.42
2024-01-09,interbank_3m,2.94
2024-01-09,interbank_6m,4.66
2024-01-09,interbank_on,0.15
2024-01-10,interbank_1m,2.19
2024-01-10,interbank_1w,0.26
2024-01-10,interbank_2w,0.41
2024-01-10,interbank_3m,3.09
2024-01-10,interbank_6m,3.93
2024-01-10,interbank_on,0.15
2024-01-11,interbank_1m,2.19
2024-01-11,interbank_1w,0.26
2024-01-11,interbank_2w,0.78
2024-01-11,interbank_3m,3.02
2024-01-11,interbank_6m,4.62
2024-01-11,interbank_on,0.15
2024-01-12,interbank_1m,2.19
2024-01-12,interbank_1w,0.25
2024-01-12,interbank_2w,0.47
2024-01-12,interbank_3m,3.01
2024-01-12,interbank_6m,4.51
2024-01-12,interbank_on,0.15
2024-01-15,interbank_1m,1.24
2024-01-15,interbank_1w,0.32
2024-01-15,interbank_2w,0.56
2024-01-15,interbank_3m,3.11
2024-01-15,interbank_6m,4.7
2024-01-15,interbank_on,0.15
2024-01-16,interbank_1m,1.06
2024-01-16,interbank_1w,0.29
2024-01-16,interbank_2w,0.49
2024-01-16,interbank_3m,2.98
2024-01-16,interbank_6m,4.11
2024-01-16,interbank_on,0.15
2024-01-17,interbank_1m,1.2
2024-01-17,interbank_1w,0.27
2024-01-17,interbank_2w,0.54
2024-01-17,interbank_3m,3.12
2024-01-17,interbank_6m,4.68
2024-01-17,interbank_on,0.15
2024-01-18,interbank_1m,1.28
2024-01-18,interbank_1w,0.23
2024-01-18,interbank_2w,0.46
2024-01-18,interbank_3m,3.06
2024-01-18,interbank_6m,4.33
2024-01-18,interbank_on,0.14
2024-01-19,interbank_1m,1.08
2024-01-19,interbank_1w,0.26
2024-01-19,interbank_2w,0.4
2024-01-19,interbank_3m,3.42
2024-01-19,interbank_6m,4.29
2024-01-19,interbank_on,0.14
2024-01-22,interbank_1m,0.99
2024-01-22,interbank_1w,0.26
2024-01-22,interbank_2w,0.44
2024-01-22,interbank_3m,3.47
2024-01-22,interbank_6m,3.87
2024-01-22,interbank_on,0.13
2024-01-23,interbank_1m,0.81
2024-01-23,interbank_1w,0.24
2024-01-23,interbank_2w,0.4
2024-01-23,interbank_3m,3.12
2024-01-23,interbank_6m,4.22
2024-01-23,interbank_on,0.12
2024-01-24,interbank_1m,0.93
2024-01-24,interbank_1w,0.26
2024-01-24,interbank_2w,0.51
2024-01-24,interbank_3m,3.03
2024-01-24,interbank_6m,4.02
2024-01-24,interbank_on,0.13
2024-01-25,interbank_1m,0.94
2024-01-25,interbank_1w,0.26
2024-01-25,interbank_2w,0.41
2024-01-25,interbank_3m,3.0
2024-01-25,interbank_6m,4.1
2024-01-25,interbank_on,0.12
2024-01-26,interbank_1m,1.1
2024-01-26,interbank_1w,0.22
2024-01-26,interbank_2w,0.48
2024-01-26,interbank_3m,3.33
2024-01-26,interbank_6m,4.44
2024-01-26,interbank_on,0.12
2024-01-29,interbank_1m,1.1
2024-01-29,interbank_1w,0.32
2024-01-29,interbank_2w,0.7
2024-01-29,interbank_3m,3.77
2024-01-29,interbank_6m,4.61
2024-01-29,interbank_on,0.12
2024-01-30,interbank_1m,1.14
2024-01-30,interbank_1w,0.44
2024-01-30,interbank_2w,1.18
2024-01-30,interbank_3m,2.7
2024-01-30,interbank_6m,4.16
2024-01-30,interbank_on,0.18
2024-01-31,interbank_1m,1.6
2024-01-31,interbank_1w,1.01
2024-01-31,interbank_2w,1.59
2024-01-31,interbank_3m,2.83
2024-01-31,interbank_6m,4.02
2024-01-31,interbank_on,0.97
2024-02-01,interbank_1m,1.74
2024-02-01,interbank_1w,1.12
2024-02-01,interbank_2w,1.93
2024-02-01,interbank_3m,2.75
2024-02-01,interbank_6m,4.07
2024-02-01,interbank_on,1.05
2024-02-02,interbank_1m,1.75
2024-02-02,interbank_1w,1.39
2024-02-02,interbank_2w,2.11
2024-02-02,interbank_3m,2.91
2024-02-02,interbank_6m,4.21
2024-02-02,interbank_on,1.37
2024-02-05,interbank_1m,2.2
2024-02-05,interbank_1w,1.39
2024-02-05,interbank_2w,2.26
2024-02-05,interbank_3m,2.92
2024-02-05,interbank_6m,3.91
2024-02-05,interbank_on,1.76
2024-02-06,interbank_1m,2.32
2024-02-06,interbank_1w,2.34
2024-02-06,interbank_2w,2.46
2024-02-06,interbank_3m,3.06
2024-02-06,interbank_6m,4.34
2024-02-06,interbank_on,2.38
2024-02-07,interbank_1m,3.21
2024-02-07,interbank_1w,3.86
