date,series_key,value
1995-01-01,reserves,929.3622
1995-02-01,reserves,1013.8782
1995-03-01,reserves,1015.0198
1995-04-01,reserves,1036.2884
1995-05-01,reserves,1114.8123
1995-06-01,reserves,1166.735
1995-07-01,reserves,1193.5895
1995-08-01,reserves,1223.8922
1995-09-01,reserves,1380.1956
1995-10-01,reserves,1400.7851
1995-11-01,reserves,1449.565
1995-12-01,reserves,1379.0871
1996-01-01,cpi_yoy,9.6603
1996-01-01,reserves,1404.5401
1996-02-01,cpi_yoy,8.7269
1996-02-01,reserves,1510.5125
1996-03-01,cpi_yoy,9.4262
1996-03-01,reserves,1631.2065
1996-04-01,cpi_yoy,8.5279
1996-04-01,reserves,1712.576
1996-05-01,cpi_yoy,6.0818
1996-05-01,reserves,1664.1835
1996-06-01,cpi_yoy,4.6489
1996-06-01,reserves,1641.9134
1996-07-01,cpi_yoy,3.9565
1996-07-01,reserves,1651.6453
1996-08-01,cpi_yoy,3.2544
1996-08-01,reserves,1685.8909
1996-09-01,cpi_yoy,3.0422
1996-09-01,reserves,1756.6034
1996-10-01,cpi_yoy,3.0392
1996-10-01,reserves,1697.5941
1996-11-01,cpi_yoy,3.8198
1996-11-01,reserves,1697.6552
1996-12-01,cpi_yoy,4.5898
1996-12-01,reserves,1813.777
1997-01-01,cpi_yoy,4.453
1997-02-01,cpi_yoy,3.7771
1997-03-01,cpi_yoy,2.3408
1997-03-01,reserves,1951.0536
1997-04-01,cpi_yoy,1.6838
1997-04-01,reserves,1996.299
1997-05-01,cpi_yoy,1.5977
1997-05-01,reserves,2017.0055
1997-06-01,cpi_yoy,2.2684
1997-06-01,reserves,2083.7424
1997-07-01,cpi_yoy,3.235
1997-07-01,reserves,2116.8686
1997-08-01,cpi_yoy,3.7249
1997-08-01,reserves,2190.1301
1997-09-01,cpi_yoy,4.0
1997-09-01,reserves,2263.3108
1997-10-01,cpi_yoy,4.1865
1997-10-01,reserves,2124.7863
1997-11-01,cpi_yoy,3.6792
1997-11-01,reserves,1989.3391
1997-12-01,cpi_yoy,3.6415
1997-12-01,reserves,2098.1228
1998-01-01,cpi_yoy,4.0778
1998-01-01,reserves,2034.0665
1998-02-01,cpi_yoy,4.4586
1998-02-01,reserves,2007.9486
1998-03-01,cpi_yoy,4.1171
1998-03-01,reserves,1992.5035
1998-04-01,cpi_yoy,6.3477
1998-04-01,reserves,2003.5159
1998-05-01,cpi_yoy,8.4181
1998-05-01,reserves,2048.9043
1998-06-01,cpi_yoy,8.3179
1998-06-01,reserves,2040.0038
1998-07-01,cpi_yoy,7.4654
1998-07-01,reserves,2028.1145
1998-08-01,cpi_yoy,8.5635
1998-08-01,reserves,2037.5428
1998-09-01,cpi_yoy,9.0659
1998-09-01,reserves,2051.6873
1998-10-01,cpi_yoy,9.0411
1998-10-01,reserves,2097.6828
1998-11-01,cpi_yoy,8.7352
1998-11-01,reserves,2104.4155
1998-12-01,cpi_yoy,8.5586
1998-12-01,reserves,2100.5115
1999-01-01,cpi_yoy,9.0828
1999-01-01,reserves,2259.6044
1999-02-01,cpi_yoy,8.7108
1999-02-01,reserves,2325.9276
1999-03-01,cpi_yoy,8.8752
1999-03-01,reserves,2247.9689
1999-04-01,cpi_yoy,6.4879
1999-04-01,reserves,2316.1319
1999-05-01,cpi_yoy,4.6075
1999-05-01,reserves,2432.9868
1999-06-01,cpi_yoy,4.2662
1999-06-01,reserves,2489.6078
1999-07-01,cpi_yoy,4.3739
1999-08-01,cpi_yoy,2.799
1999-09-01,cpi_yoy,1.1755
1999-09-01,reserves,2943.5355
1999-10-01,cpi_yoy,-0.1675
1999-11-01,cpi_yoy,0.1674
1999-12-01,cpi_yoy,-0.166
1999-12-01,reserves,3423.4388
2000-01-01,cpi_yoy,-1.3878
2000-02-01,cpi_yoy,-1.6827
2000-03-01,cpi_yoy,-2.0985
2000-03-01,reserves,3688.6726
2000-04-01,cpi_yoy,-2.1933
2000-05-01,cpi_yoy,-2.3654
2000-06-01,cpi_yoy,-2.5368
2000-06-01,reserves,3628.789
2000-07-01,cpi_yoy,-2.7116
2000-08-01,cpi_yoy,-2.2277
2000-09-01,cpi_yoy,-1.8257
2000-09-01,reserves,3637.1861
2000-10-01,cpi_yoy,-0.6711
2000-11-01,cpi_yoy,-0.1671
2000-12-01,cpi_yoy,-0.5819
2000-12-01,reserves,3509.6281
2001-01-01,cpi_yoy,-0.745
2001-01-01,reserves,3537.9757
2001-02-01,cpi_yoy,-1.8745
2001-02-01,reserves,3607.1208
2001-03-01,cpi_yoy,-1.4839
2001-03-01,reserves,3423.238
2001-04-01,cpi_yoy,-1.2458
2001-04-01,reserves,3454.6629
2001-05-01,cpi_yoy,-0.8354
2001-05-01,reserves,3723.6067
2001-06-01,cpi_yoy,-0.3359
2001-06-01,reserves,3523.4899
2001-07-01,cpi_yoy,0.0845
2001-07-01,reserves,3675.3687
2001-08-01,cpi_yoy,0.0
2001-08-01,reserves,3911.4457
2001-09-01,cpi_yoy,0.6762
2001-09-01,reserves,3782.2809
2001-10-01,cpi_yoy,0.4223
2001-10-01,reserves,4056.0491
2001-11-01,cpi_yoy,-0.251
2001-11-01,reserves,3770.4516
2001-12-01,cpi_yoy,0.5017
2001-12-01,reserves,3765.1256
2002-01-01,cpi_yoy,1.297
2002-01-01,reserves,3792.7554
2002-02-01,cpi_yoy,3.0956
2002-02-01,reserves,3967.7444
2002-03-01,cpi_yoy,3.0411
2002-03-01,reserves,3990.3068
2002-04-01,cpi_yoy,3.561
2002-04-01,reserves,3919.4263
2002-05-01,cpi_yoy,4.0467
2002-05-01,reserves,3930.2967
2002-06-01,cpi_yoy,4.1508
2002-06-01,reserves,3893.6986
2002-07-01,cpi_yoy,4.2222
2002-07-01,reserves,3859.3922
2002-08-01,cpi_yoy,4.3265
2002-08-01,reserves,3883.3287
2002-09-01,cpi_yoy,4.0085
2002-09-01,reserves,3940.3581
2002-10-01,cpi_yoy,4.496
2002-10-01,reserves,3995.917
2002-11-01,cpi_yoy,4.5457
2002-11-01,reserves,4070.4597
2002-12-01,cpi_yoy,3.987
2002-12-01,reserves,4231.8217
2003-01-01,cpi_yoy,3.8386
2003-01-01,reserves,4938.5133
2003-02-01,cpi_yoy,3.8386
2003-02-01,reserves,5168.8226
2003-03-01,cpi_yoy,4.048
2003-03-01,reserves,5529.6286
2003-04-01,cpi_yoy,4.048
2003-04-01,reserves,5875.0458
2003-05-01,cpi_yoy,3.633
2003-05-01,reserves,6208.6505
2003-06-01,cpi_yoy,3.2189
2003-06-01,reserves,6440.3471
2003-07-01,cpi_yoy,3.0122
2003-07-01,reserves,6070.6174
2003-08-01,cpi_yoy,2.8064
2003-08-01,reserves,5912.282
2003-09-01,cpi_yoy,2.7038
2003-09-01,reserves,6192.6286
2003-10-01,cpi_yoy,2.1918
2003-10-01,reserves,6293.2
2003-11-01,cpi_yoy,2.4975
2003-11-01,reserves,6289.7957
2003-12-01,cpi_yoy,3.0085
2003-12-01,reserves,6359.1311
2004-01-01,cpi_yoy,3.2126
2004-01-01,reserves,6589.6943
2004-02-01,cpi_yoy,4.0206
2004-02-01,reserves,6669.5524
2004-03-01,cpi_yoy,5.4856
2004-03-01,reserves,6412.3134
2004-04-01,cpi_yoy,6.0131
2004-04-01,reserves,6340.3089
2004-05-01,cpi_yoy,7.0743
2004-05-01,reserves,6371.7893
2004-06-01,cpi_yoy,8.2556
2004-06-01,reserves,6526.8426
2004-07-01,cpi_yoy,9.1243
2004-07-01,reserves,6759.5994
2004-08-01,cpi_yoy,9.8889
2004-08-01,reserves,6730.1323
2004-09-01,cpi_yoy,10.1085
2004-09-01,reserves,6867.8791
2004-10-01,cpi_yoy,10.3291
2004-10-01,reserves,6927.9567
2004-11-01,cpi_yoy,9.8904
2004-11-01,reserves,6995.3034
2004-12-01,cpi_yoy,9.6724
2004-12-01,reserves,7186.0706
2005-01-01,cpi_yoy,9.6724
2005-01-01,reserves,7940.4342
2005-02-01,cpi_yoy,9.14
2005-02-01,reserves,7969.1407
2005-03-01,cpi_yoy,8.3821
2005-03-01,reserves,8067.8896
2005-04-01,cpi_yoy,8.4899
2005-04-01,reserves,8410.7973
2005-05-01,cpi_yoy,8.0598
2005-05-01,reserves,8412.2096
2005-06-01,cpi_yoy,7.631
2005-06-01,reserves,8008.9418
2005-07-01,cpi_yoy,7.5239
