date,bom,hut,net
2025-06-20,0.0,-1624.0,-1624.0
2025-06-23,0.0,-1796.0,-1796.0
2025-06-24,1509.0,-4823.0,-3314.0
2025-06-25,7875.0,-13055.0,-5180.0
2025-06-26,20442.0,-10336.0,10106.0
2025-06-27,40365.0,-323.0,40042.0
2025-06-30,52904.0,0.0,52904.0
2025-07-01,7301.0,-4778.0,2523.0
2025-07-02,10000.0,-8378.0,1622.0
2025-07-03,9596.0,-29642.0,-20046.0
2025-07-04,5123.0,-32735.0,-27612.0
2025-07-07,9000.0,-38055.0,-29055.0
2025-07-08,16510.0,-13043.0,3467.0
2025-07-09,18933.0,-5410.0,13523.0
2025-07-10,24410.0,-5196.0,19214.0
2025-07-11,19644.0,-21400.0,-1756.0
2025-07-14,22160.0,-33020.0,-10860.0
2025-07-15,40978.0,-16000.0,24978.0
2025-07-16,35000.0,-21995.0,13005.0
2025-07-17,29776.0,-14756.0,15020.0
2025-07-18,27716.0,-11444.0,16272.0
2025-07-21,25364.0,-17160.0,8204.0
2025-07-22,36918.0,-31067.0,5851.0
2025-07-23,39714.0,-30000.0,9714.0
2025-07-24,47176.0,-24678.0,22498.0
2025-07-25,31529.0,-7940.0,23589.0
2025-07-28,18378.0,-3819.0,14559.0
2025-07-29,10149.0,-13053.0,-2904.0
2025-07-30,1494.0,-10549.0,-9055.0
2025-07-31,7835.0,-14432.0,-6597.0
2025-08-01,30976.0,-28746.0,2230.0
2025-08-04,25579.0,-18854.0,6725.0
2025-08-05,19997.0,-22865.0,-2868.0
2025-08-06,28523.0,-26706.0,1817.0
2025-08-07,26112.0,-30539.0,-4427.0
2025-08-08,25270.0,-19161.0,6109.0
2025-08-11,26476.0,-21855.0,4621.0
2025-08-12,8765.0,-15782.0,-7017.0
2025-08-13,877.0,-6191.0,-5314.0
2025-08-14,5041.0,-10236.0,-5195.0
2025-08-15,18317.0,-25831.0,-7514.0
2025-08-18,5120.0,-13726.0,-8606.0
2025-08-19,11048.0,-12807.0,-1759.0
2025-08-20,5912.0,-14234.0,-8322.0
2025-08-21,28070.0,-27696.0,374.0
2025-08-22,53295.0,-32089.0,21206.0
2025-08-25,32615.0,-17152.0,15463.0
2025-08-26,3780.0,-12119.0,-8339.0
2025-08-27,0.0,-3694.0,-3694.0
2025-08-28,0.0,-8516.0,-8516.0
2025-08-29,5157.0,-17341.0,-12184.0
2025-09-03,28328.0,-11085.0,17243.0
2025-09-04,14101.0,-19523.0,-5422.0
2025-09-05,7000.0,-31394.0,-24394.0
2025-09-08,36076.0,-35597.0,479.0
2025-09-09,6000.0,-340.0,5660.0
2025-09-10,3985.0,-21418.0,-17433.0
2025-09-11,4094.0,-2062.0,2032.0
2025-09-12,13848.0,-6789.0,7059.0
2025-09-15,18435.0,-14805.0,3630.0
2025-09-16,17954.0,-3452.0,14502.0
2025-09-17,8003.0,-6700.0,1303.0
2025-09-18,4367.0,-11499.0,-7132.0
2025-09-19,3340.0,-24839.0,-21499.0
2025-09-22,3998.0,-21883.0,-17885.0
2025-09-23,12000.0,-12289.0,-289.0
2025-09-24,19000.0,-6720.0,12280.0
2025-09-25,27813.0,-2893.0,24920.0
2025-09-26,17000.0,-6715.0,10285.0
