date,value
2026-03-31,9.57
2026-04-01,8.81
2026-04-02,8.69
2026-04-03,6.29
2026-04-06,8.58
2026-04-07,5.57
2026-04-08,4.67
2026-04-09,5.79
2026-04-10,5.94
2026-04-13,6.03
2026-04-14,4.83
2026-04-15,3.84
2026-04-16,3.88
2026-04-17,3.98
2026-04-20,4.28
2026-04-21,5.82
2026-04-22,5.79
2026-04-23,4.38
2026-04-24,4.38
2026-04-28,3.88
2026-04-29,3.88
2026-05-04,6.62
2026-05-05,7.05
2026-05-06,6.18
2026-05-07,5.72
2026-05-08,4.99
2026-05-11,5.15
2026-05-12,6.33
2026-05-13,6.32
2026-05-14,6.05
2026-05-15,5.25
2026-05-18,5.72
2026-05-19,6.2
2026-05-20,6.01
2026-05-21,5.52
2026-05-22,6.57
2026-05-25,6.97
2026-05-26,7.68
2026-05-27,7.8
2026-05-28,6.96
2026-05-29,6.97
2026-06-01,10.66
2026-06-02,6.54
2026-06-03,5.48
2026-06-04,5.27
2026-06-05,6.13
2026-06-08,9.35
2026-06-09,5.78
2026-06-10,4.85
2026-06-11,4.34
2026-06-12,3.51
2026-06-15,3.52
2026-06-16,3.85
2026-06-17,3.7
2026-06-18,4.03
2026-06-19,4.41
2026-06-22,6.2
2026-06-23,5.21
2026-06-24,3.79
2026-06-25,3.16
2026-06-26,2.91
2026-06-29,3.73
2026-06-30,12.49
2026-07-01,5.95
2026-07-02,6.62
2026-07-03,5.67
2026-07-06,6.01
2026-07-07,5.84
2026-07-08,5.28
2026-07-09,4.68
2026-07-10,4.28
2026-07-13,4.19
2026-07-14,4.18
2026-07-15,4.16
2026-07-16,4.11
2026-07-17,3.87
2026-07-20,3.68
2026-07-21,3.54
2026-07-22,3.33
2026-07-23,2.97
2026-07-24,2.43
2026-07-27,2.37
