date,series_key,value
2025-07-14,vnindex,1460.65
2025-07-15,vnindex,1475.47
2025-07-16,vnindex,1490.01
2025-07-17,vnindex,1497.28
2025-07-20,vnindex,1485.05
2025-07-21,vnindex,1509.54
2025-07-22,vnindex,1512.31
2025-07-23,vnindex,1521.02
2025-07-24,vnindex,1531.13
2025-07-27,vnindex,1557.42
2025-07-28,vnindex,1493.41
2025-07-29,vnindex,1507.63
2025-07-30,vnindex,1502.52
2025-07-31,vnindex,1495.21
2025-08-03,vnindex,1528.19
2025-08-04,vnindex,1547.15
2025-08-05,vnindex,1573.71
2025-08-06,vnindex,1581.81
2025-08-07,vnindex,1584.95
2025-08-10,vnindex,1596.86
2025-08-11,vnindex,1608.22
2025-08-12,vnindex,1611.6
2025-08-13,vnindex,1640.69
2025-08-14,vnindex,1630.0
2025-08-17,vnindex,1636.37
2025-08-18,vnindex,1654.2
2025-08-19,vnindex,1664.36
2025-08-20,vnindex,1688.0
2025-08-21,vnindex,1645.47
2025-08-24,vnindex,1614.03
2025-08-25,vnindex,1667.63
2025-08-26,vnindex,1672.78
2025-08-27,vnindex,1680.86
2025-08-28,vnindex,1682.21
2025-09-02,vnindex,1681.3
2025-09-03,vnindex,1696.29
2025-09-04,vnindex,1666.97
2025-09-07,vnindex,1624.53
2025-09-08,vnindex,1637.32
2025-09-09,vnindex,1643.26
2025-09-10,vnindex,1657.75
2025-09-11,vnindex,1667.26
2025-09-14,vnindex,1684.9
2025-09-15,vnindex,1680.9
2025-09-16,vnindex,1670.97
2025-09-17,vnindex,1665.18
2025-09-18,vnindex,1658.62
2025-09-21,vnindex,1634.45
2025-09-22,vnindex,1635.26
2025-09-23,vnindex,1657.46
2025-09-24,vnindex,1666.09
2025-09-25,vnindex,1660.7
2025-09-28,vnindex,1666.48
2025-09-29,vnindex,1661.7
2025-09-30,vnindex,1665.05
2025-10-01,vnindex,1652.71
2025-10-02,vnindex,1645.82
2025-10-05,vnindex,1695.5
2025-10-06,vnindex,1685.3
2025-10-07,vnindex,1697.83
2025-10-08,vnindex,1716.47
2025-10-09,vnindex,1747.55
2025-10-12,vnindex,1765.12
2025-10-13,vnindex,1761.06
2025-10-14,vnindex,1757.95
2025-10-15,vnindex,1766.85
2025-10-16,vnindex,1731.19
2025-10-19,vnindex,1636.43
2025-10-20,vnindex,1663.43
2025-10-21,vnindex,1678.5
2025-10-22,vnindex,1687.06
2025-10-23,vnindex,1683.18
2025-10-26,vnindex,1652.54
2025-10-27,vnindex,1680.5
2025-10-28,vnindex,1685.83
2025-10-29,vnindex,1669.57
2025-10-30,vnindex,1639.65
2025-11-02,vnindex,1617.0
2025-11-03,vnindex,1651.98
2025-11-04,vnindex,1654.89
2025-11-05,vnindex,1642.64
2025-11-06,vnindex,1599.1
2025-11-09,vnindex,1580.54
2025-11-10,vnindex,1593.61
2025-11-11,vnindex,1631.86
2025-11-12,vnindex,1631.44
2025-11-13,vnindex,1635.46
2025-11-16,vnindex,1654.42
2025-11-17,vnindex,1659.92
2025-11-18,vnindex,1649.0
2025-11-19,vnindex,1655.99
2025-11-20,vnindex,1654.93
2025-11-23,vnindex,1667.98
2025-11-24,vnindex,1660.36
2025-11-25,vnindex,1680.36
2025-11-26,vnindex,1684.32
2025-11-27,vnindex,1690.99
2025-11-30,vnindex,1701.67
2025-12-01,vnindex,1717.06
2025-12-02,vnindex,1731.77
2025-12-03,vnindex,1737.24
2025-12-04,vnindex,1741.32
2025-12-07,vnindex,1753.74
2025-12-08,vnindex,1747.17
2025-12-09,vnindex,1718.98
2025-12-10,vnindex,1698.9
2025-12-11,vnindex,1646.89
2025-12-14,vnindex,1646.01
2025-12-15,vnindex,1679.18
2025-12-16,vnindex,1673.66
2025-12-17,vnindex,1676.98
2025-12-18,vnindex,1704.31
2025-12-21,vnindex,1751.03
2025-12-22,vnindex,1772.15
2025-12-23,vnindex,1782.82
2025-12-24,vnindex,1742.85
2025-12-25,vnindex,1729.8
2025-12-28,vnindex,1754.84
2025-12-29,vnindex,1766.9
2025-12-30,vnindex,1784.49
2026-01-04,vnindex,1788.4
2026-01-05,vnindex,1816.27
2026-01-06,vnindex,1861.58
2026-01-07,vnindex,1855.56
2026-01-08,vnindex,1867.9
2026-01-11,vnindex,1877.33
2026-01-12,vnindex,1902.93
2026-01-13,vnindex,1894.44
2026-01-14,vnindex,1864.8
2026-01-15,vnindex,1879.13
2026-01-18,vnindex,1896.59
2026-01-19,vnindex,1893.78
2026-01-20,vnindex,1885.44
2026-01-21,vnindex,1882.73
2026-01-22,vnindex,1870.79
2026-01-25,vnindex,1843.72
2026-01-26,vnindex,1830.5
2026-01-27,vnindex,1802.91
2026-01-28,vnindex,1814.98
2026-01-29,vnindex,1829.04
2026-02-01,vnindex,1806.5
2026-02-02,vnindex,1813.4
2026-02-03,vnindex,1791.43
2026-02-04,vnindex,1782.56
2026-02-05,vnindex,1755.49
2026-02-08,vnindex,1754.82
2026-02-09,vnindex,1754.03
2026-02-10,vnindex,1796.85
2026-02-11,vnindex,1814.09
2026-02-12,vnindex,1824.09
2026-02-22,vnindex,1860.14
2026-02-23,vnindex,1867.62
2026-02-24,vnindex,1860.91
2026-02-25,vnindex,1879.64
