date,world_gold_usd,world_gold_vnd
2026-06-18,4245.9,134477951
2026-06-22,4202.7,133337717
2026-06-23,4149.4,131396549
2026-06-24,4008.8,127258412
2026-06-25,4047.6,128416909
2026-06-26,4096.3,129961998
2026-06-29,4038.9,127726979
2026-06-30,4038.5,127836055
2026-07-01,4082.4,129442246
2026-07-02,4125.7,130745538
2026-07-06,4167.5,132140545
2026-07-07,4157.4,131770177
2026-07-08,4082.4,129417637
2026-07-09,4140.8,131249027
2026-07-10,4113.7,130390050
2026-07-13,4005.7,126773645
2026-07-14,4069.7,128843297
2026-07-15,4051.8,128252173
2026-07-16,3992.1,126348041
2026-07-17,4018.8,127193084
2026-07-20,4015.9,127290129
2026-07-21,4076.4,129256917
2026-07-22,4151.9,131675944
2026-07-23,4050.2,128494515
2026-07-24,4070.8,129148060
2026-07-27,4077.0,129339842
2026-07-28,4038.7,128207580
2026-07-29,4036.3,128087596
2026-07-30,4100.1,129904601
2026-07-31,4107.0,130123216
2026-08-03,4090.5,129634964
2026-08-04,4152.6,131467842
2026-08-05,4305.2,136247124
2026-08-06,4299.6,135992143
2026-08-07,4399.7,139158209
2026-08-10,4419.7,139343186
2026-08-11,4441.1,139910791
2026-08-12,4467.5,140306202
2026-08-13,4420.4,138938899
2026-08-14,4437.3,139470088
2026-08-17,4473.7,141315370
2026-08-18,4420.6,139504803
2026-08-19,4545.3,143461992
2026-08-20,4571.4,143844858
2026-08-21,4680.6,147280974
2026-08-24,4697.8,148235658
2026-08-25,4694.5,147774954
2026-08-26,4653.3,146438775
2026-08-27,4664.0,146629301
2026-08-28,4529.9,142413394
2026-08-31,4481.5,140859351
2026-09-01,4396.4,138184548
2026-09-02,4414.6,138756597
2026-09-03,4539.9,142694938
2026-09-04,4476.6,140705337
2026-09-08,4439.0,139009740
2026-09-09,4460.7,139312825
2026-09-10,4407.3,137735413
2026-09-11,4408.9,137785416
2026-09-14,4351.9,136334624
2026-09-15,4332.8,135600447
2026-09-16,4387.5,137481626
2026-09-17,4399.7,137863911
2026-09-18,4391.6,137763646
